"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6nRGPf5tpeJtKpXZO5cgIT","Paro","spotify:artist:3ozYqVCLohfpXIhalkhM8D, spotify:artist:3gKTtA1BK4pq1IIHXAyvgO","Aditya Rikhari, UNPLG'd","spotify:album:1pnmSGbSYY19bPwUJ4XJOl","Paro","spotify:artist:3ozYqVCLohfpXIhalkhM8D, spotify:artist:3gKTtA1BK4pq1IIHXAyvgO","Aditya Rikhari, UNPLG'd","2024-11-12","https://i.scdn.co/image/ab67616d0000b2735fe9856a449aab589c06b6c8","1","1","70400","https://p.scdn.co/mp3-preview/457c2cea5306d422427e218ec9cdc7f66c8949f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","DGA0Q2419565","","2025-04-08T07:59:29Z"
"spotify:track:3h4T9Bg8OVSUYa6danHeH5","Animals","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:6LtzdMGhOCh9s6sssWrpuD","V (Asia Tour Edition)","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2015-05-18","https://i.scdn.co/image/ab67616d0000b27337677af5b4f23fe9dc8a3c04","1","2","231013","https://p.scdn.co/mp3-preview/c630a46d6c96188dccf761c6f33f25a1c98ad9c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USUM71409576","","2025-04-06T13:46:28Z"
"spotify:track:7qiZfU4dY1lWllzX7mPBI3","Shape of You","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","spotify:album:3T4tUhGYeRNVUGevb0wThu","÷ (Deluxe)","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V","Ed Sheeran","2017-03-03","https://i.scdn.co/image/ab67616d0000b273ba5db46f4b838ef6027e6f96","1","4","233712","https://p.scdn.co/mp3-preview/7339548839a263fd721d01eb3364a848cad16fa7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBAHS1600463","","2025-04-06T13:30:28Z"
"spotify:track:7EkWXAI1wn8Ii883ecd9xr","Freaks","spotify:artist:1gl0S9pS0Zw0qfa14rDD3D","Surf Curse","spotify:album:5WjaIWthUR3AjA0UYG3jR5","Freaks","spotify:artist:1gl0S9pS0Zw0qfa14rDD3D","Surf Curse","2021-05-15","https://i.scdn.co/image/ab67616d0000b2739efda673310de265a2c1cf1f","1","1","147062","https://p.scdn.co/mp3-preview/039505c3b40b4478ec45ccb64fed211487887dd0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USAT22102269","","2025-04-06T13:18:45Z"
"spotify:track:4KicwnxHDBQLfeytoUBmux","Architect","spotify:artist:2fPsJqR6zfoHatC1eFr0eQ","Livingston","spotify:album:65J7c5IxoJ9GU79gg6AK7X","A Hometown Odyssey","spotify:artist:2fPsJqR6zfoHatC1eFr0eQ","Livingston","2024-03-08","https://i.scdn.co/image/ab67616d0000b2739e29fcb2a0b61b2b11bf7332","1","8","212173","https://p.scdn.co/mp3-preview/04e293211342d629a424177388264692498b62c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","QM24S2400571","","2025-04-04T02:57:19Z"
"spotify:track:2KpS233l8QRiWYUT6E0TMg","Made to Sing to You","spotify:artist:34YxoBNpxn6Gk7vKZ4tOgX","JULIAN KALEL","spotify:album:5cZRdzYfub9poxX614kkqV","Made to Sing to You","spotify:artist:34YxoBNpxn6Gk7vKZ4tOgX","JULIAN KALEL","2025-02-13","https://i.scdn.co/image/ab67616d0000b2731f740a3584efc1cb82521693","1","1","230643","https://p.scdn.co/mp3-preview/484d1a4aeeb21638b462bfe3a29cffd34b10286c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","QZGLM2534704","","2025-03-12T16:36:54Z"
"spotify:track:4ofwffwvvnbSkrMSCKQDaC","Shotgun","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:2NaulYO6lGXTyIzWTJvRJj","Staying at Tamara's","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2018-03-23","https://i.scdn.co/image/ab67616d0000b273103045cd1c29dd16a469f808","1","4","201287","https://p.scdn.co/mp3-preview/3d87ba7cbe8d7c7499cf86e46f7665b2b63639fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1701372","","2025-03-05T09:30:28Z"
"spotify:track:5ho7VSXSmI2KM2nDjcnLyz","man at the garden","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","4","233173","https://p.scdn.co/mp3-preview/ccfc8e9ed715423ad9e1cc869a392c4f24ef968b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUG12408498","","2025-02-27T13:24:07Z"
"spotify:track:3GDIZO71jiE1FEcHEJh3RH","The Mariner's Revenge Song","spotify:artist:7ITd48RbLVpUfheE7B86o2","The Decemberists","spotify:album:0eGxAVwdwV2mHrUgLJ8R6Y","Picaresque","spotify:artist:7ITd48RbLVpUfheE7B86o2","The Decemberists","2005","https://i.scdn.co/image/ab67616d0000b2732550872f317d70f5e304c835","1","10","525933","https://p.scdn.co/mp3-preview/a55e296594fd32a47eb2fb656151aeb57c9fee8c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USKRS0542510","","2025-02-26T08:11:24Z"
"spotify:track:7MTUN4bpk7Im3Sxz9oCULf","Kana Yaari","spotify:artist:1n9EM0Y4A89vuRiA93gSS9, spotify:artist:6uKDXHJSM9VI5H6FhONorO, spotify:artist:2IBpBrzMIaeeXJnzfJIVLA","Kaifi Khalil, Eva B, Wahab Bugti","spotify:album:6DRq94aOT9Ml8WhJ4PzNGT","Kana Yaari","spotify:artist:1n9EM0Y4A89vuRiA93gSS9, spotify:artist:6uKDXHJSM9VI5H6FhONorO, spotify:artist:2IBpBrzMIaeeXJnzfJIVLA","Kaifi Khalil, Eva B, Wahab Bugti","2022-01-20","https://i.scdn.co/image/ab67616d0000b2730407e4b278400d17970a38af","1","1","226802","https://p.scdn.co/mp3-preview/7eaf4cf0229785778c321fe2b1dac67a284d397d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","FR10S2244029","","2025-02-18T08:18:49Z"
