"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Not Like Us","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:5JjnoGJyOxfSZUZtk2rRwZ","Not Like Us","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-05-04","https://i.scdn.co/image/ab67616d0000b2731ea0c62b2339cbf493a999ad","1","1","274192","https://p.scdn.co/mp3-preview/821def30e24f965adb480145744e4ed2a0f37903?cid=9950ac751e34487dbbe027c4fd7f8e99","true","96","USUG12400910","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:41:44Z"
"spotify:track:3GVkPk8mqxz0itaAriG1L7","Everybody Dies In Their Nightmares","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","spotify:album:5VdyJkLe3yvOs0l4xXbWp0","17","spotify:artist:15UsOTVnJzReFVN1VCnxy4","XXXTENTACION","2017-08-25","https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5","1","4","95466","https://p.scdn.co/mp3-preview/57ea372058336bcc4774b5dcee03d6712b16ae5c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USUYG1156894","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:41:51Z"
"spotify:track:1lOe9qE0vR9zwWQAOk6CoO","Ransom","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","spotify:album:1I6FpscJIfwf4T56VxGVsB","We Love You Tecca","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","2019-08-30","https://i.scdn.co/image/ab67616d0000b273bd69bbde4aeee723d6d08058","1","1","131240","https://p.scdn.co/mp3-preview/42c3aa916ed1ff079832d9d87afe612e434e59ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","87","QZ85M1940160","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:41:56Z"
"spotify:track:7ycWLEP1GsNjVvcjawXz3z","Praise The Lord (Da Shine) (feat. Skepta)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:2p1fiYHYiXz9qi0JJyxBzN","A$AP Rocky, Skepta","spotify:album:3MATDdrpHmQCmuOcozZjDa","TESTING","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2018-05-25","https://i.scdn.co/image/ab67616d0000b2739feadc48ab0661e9b3a9170b","1","5","205040","https://p.scdn.co/mp3-preview/ba69e5d1385c353090c2c6c30d398501e611315d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USRC11800930","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:42:00Z"
"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","HUMBLE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2017-04-14","https://i.scdn.co/image/ab67616d0000b2738b52c6b9bc4e43d873869699","1","8","177000","https://p.scdn.co/mp3-preview/4e6df1ccb505e0d8a8f79086c321762a2b84bfd8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","89","USUM71703085","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:42:04Z"
"spotify:track:0VgkVdmE4gld66l8iyGjgx","Mask Off","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","spotify:album:17FBoXK1NU2rvJBbzdzw0r","FUTURE","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2017-06-30","https://i.scdn.co/image/ab67616d0000b273e0b64c8be3c4e804abcb2696","1","7","204600","https://p.scdn.co/mp3-preview/e0b0055e0d5d4c6513741b840028c0c5579af7f2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","85","USSM11701444","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:55:00Z"
"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Heartless","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:3WFTGIO6E3Xh4paEOBY9OU","808s & Heartbreak","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2008-11-24","https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18","1","3","211000","https://p.scdn.co/mp3-preview/920b09535e94d18179265783aeb8b3ccb2495977?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM70840511","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T16:55:08Z"
"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","luther (with sza)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Kendrick Lamar, SZA","spotify:album:1Ss0ArMRr91m83mOgRBjSZ","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-21","https://i.scdn.co/image/ab67616d0000b27309d6ed214f03fbb663e46531","1","3","177598","https://p.scdn.co/mp3-preview/ab0b3c71d54bad0316eb4439da8e5debf6f1db45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","94","USUG12408496","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T18:24:28Z"
"spotify:track:0aB0v4027ukVziUGwVGYpG","tv off (feat. lefty gunplay)","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:1jiZvw42D4oquLl24x2VWV","Kendrick Lamar, Lefty Gunplay","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","7","220690","https://p.scdn.co/mp3-preview/a4fa049c525e8dfe13a250e39c1cf7353a122e1b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","94","USUG12408493","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T18:24:32Z"
"spotify:track:0nj9Bq5sHDiTxSHunhgkFb","squabble up","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:0hvT3yIEysuuvkK73vgdcW","GNX","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","2024-11-22","https://i.scdn.co/image/ab67616d0000b273d9985092cd88bffd97653b58","1","2","157992","https://p.scdn.co/mp3-preview/7cb4f6fbd7ec470550d430dd3b057d8b8f110218?cid=9950ac751e34487dbbe027c4fd7f8e99","true","90","USUG12408494","spotify:user:31upfrncfdfjtnajsgnzpbtyfl7q","2024-12-30T18:24:36Z"
